original	call_entry	net	correct_mean	correct_cnt	fake_always_1	fake_always_3	fake_always_5	fake_correct	fake_correct_1v5	1000	1001	1002	1004	1005	1006	1007	1009	1010	1011	1012	1013	1014	984	986	987	988	992	993	994	995	996	997	998
sample05_066a3936b4ebc1ca0c3b9e5d4e061e4b.ogg	1014	loss20-0 + rate32kbit	3.5714285714286	7	1	3	5	3.5714285714286	5			2.434	2.440232	1.519	4.651	2.7	2.374	3.6	1	4.04225	4.17102	1.648	1.2724	2.067386	2.183	1	4.23	4.25231	5	2.29393	3.0698	3.0064	5
sample15_75836e80be4f3370e27e3f17bbce3433.ogg	1001	loss25-0 + rate25kbit	2.1428571428571	21	1	3	5	2.1428571428571	1	1	3.2856102990317	1.603	4.468691	1.235	3.456	2.3	1.811	2.3	1	3.97186	2.2118	1.2	1.1202	1.390475	1.87	2.457901	3.85	3.7068	2.67795	1.71765	5	3.04642	1.6371
sample15_d4cdbff1b70c60a2fd8fc54f26f55c23.ogg	984	loss30-0 + delay400-50	2	7	1	3	5	2	1	2.81034	1.1270339044996	2.454	1	1.441	2.617	2.7	2.25	2.3	1	4.47938	1.87887	1.603	1.1533	2.050242	2.339	3.112473		2.04889	2.71516	1.76119	2.3686	3.73382	5
sample15_8082d542b11fb2be2869f8f45b292373.ogg	992	loss30-0 + rate17kbit	1.5714285714286	7	1	3	5	1.5714285714286	1	1	3.4495604019272	1.481	1	1.2	1	2.3	1.695	1.5	1	2.62066	1	1.179	1.3097	1.376977	1.774	1	1.93	1	2.48873	1.85268	1	1.11039	2.7728
sample05_066a3936b4ebc1ca0c3b9e5d4e061e4b.ogg	993	loss25-0 + delay500-50	2.4285714285714	7	1	3	5	2.4285714285714	1	1	3.3924876503767	1.288	1	1.18	3.86	1.7	1.554	2.6	1	2.7725	1	1.101	1.0314	1.242339	1.67	1	2.44	3.68789	2.08972	1.31786	3.0328	1.39119	5
sample16_2ee9c6bcc64a0b6566f8e9ec99b20ada.ogg	993	loss13-0 + rate44kbit	4.1428571428571	7	1	3	5	4.1428571428571	5	1	3.218433144243	2.429	4.643987	1.585	4.149	2.7	2.492	2.3	1	4.16572	3.06851	1.602	1.3325	2.039432	2.321	3.017944	4.31	4.34124	3.52956	2.44653	3.2345	3.71668	3.2734
sample06_fb64e39c9934c818b378a0532c38f50f.ogg	993	loss25-0 + rate29kbit	4.1428571428571	7	1	3	5	4.1428571428571	5	1	3.4083593641036	2.485	4.247754	1.498	1.939	2.7	2.336	2.3	1	4.48174	2.98956	1.531	1.4225	1.816457	2.379	3.585724	4.63	1.50528	3.7424	1.99521	1	3.98679	1.0178
sample06_43af06b41db225c41a659da60408148a.ogg	1001	loss25-0 + delay500-50	2	7	1	3	5	2	1	1	3.4893691614747	1.872	1	1.193	3.5	2.3	1.72	1.5	1	2.7677	1.21563	1.284	1.0868	1.552329	1.828	1	2.59	2.6472	3	1.63334	1	1.67786	4.9424
sample05_0bb3646f15e8dc61f525f40f2884de57.ogg	1013	loss90-0 + delay700-10	0.28571428571429	7	1	3	5	0.28571428571429	1	1	3.8072005177218	1.059	1	1.11	2.866	1.7	1.109	2.6	1	0	1	1.079	1.1143	1.181588	1.693	1	1.4	2.76451	2.30676	1.20526	2.5641	1	
sample05_93fd2fb8e32e04fff51eaa1677a471c8.ogg	992	loss13-0 + rate44kbit	5.2857142857143	7	1	3	5	5.2857142857143	5	1	1.859682900587	2.203	4.172186	1.518	4.521	2.7	2.683	2.6	1	4.71127	4.76243	1.563	1.2415	2.04761	2.359	3.489273	3.66	4.49597	4.65105	2.74893	5	3.87607	1.8513
sample05_7f3d7554d1fe70872389e84ebe802984.ogg	1009	loss25-0 + rate25kbit	2.8	10	1	3	5	2.8	1	1.69276	1.84311256076	1.786	1.131951	1.154	1.493	2.3	1.449	3.08	3	4.46475	1	1.2	1.0639	1.458508	1.814	1	4.49	2.37637	3.14351	1.87761	1	3.56117	4.8971
sample17_0d1f6a407f028a451f3a6a90098a9300.ogg	1010	loss30-0 + rate17kbit	1.8333333333333	6	1	3	5	1.8333333333333	1	1	3.767447911505	1.764	1	1.226	1.756	2.3	1.848	2.4	1	3.12863	1	1.231	1.1145	1.494138	1.938	1	3.4	1.79635	2.54174	1.76151	1	2.35084	2.7711
sample06_fb64e39c9934c818b378a0532c38f50f.ogg	987	loss13-0 + rate44kbit	3.3333333333333	6	1	3	5	3.3333333333333	5	2.32627	3.3070013799626	2.719	5	1.595	1.642	3.3	2.491	3.47	5	4.70688	3.73092	1.907	1.2882	2.013956	2.591	3.743835	4.56	2.03185	4.08024	2.51097	1	4.25491	2.4656
sample06_b05e9d0ca9fa03bc46191299c1bae645.ogg	993	loss30-0 + delay400-50	1	9	1	3	5	1	1	1	1.7360073677144	1.803	1.119086	1.185	2.942	2.3	1.511	1.5	1	0.396925	1.50563	1.228	1.0979	1.49341	1.892	1	3.32	3.65479	2.50524	1.60503	5	2.55631	4.2219
sample15_1a7df29173d06cd4119ea338d1e8e05c.ogg	998	loss17-0 + rate24kbit	3	6	1	3	5	3	5	1	1.5952596520448	2.148	2.257785	1.271	2.426	2.7	2.208	3.88	1	4.23284	2.4026	1.45	1.1802	1.795902	2.007	1.386581		2.85297	2.73222	2.6051	4.8116	3.64302	1
sample15_c38cd5c611532af5e79ed0958c415880.ogg	998	loss40-0 + rate16kbit	1	7	1	3	5	1	1	1	3.8997158749969	1.788	2.461145	1.199	1.799	2.3	1.878	2.82	1	3.43547	1	1.312	1.1338	1.508492	2.156	1	4.34	1.60187	2.81847	2.00104	2.756	2.85461	1
sample05_93fd2fb8e32e04fff51eaa1677a471c8.ogg	1000	loss25-0 + rate25kbit	2.3877551020408	49	1	3	5	2.3877551020408	1	1.73197	1.6166968416245	1.643	3.454467	1.386	4.102	2.3	2.122	2.82	4.125	4.39452	4.11871	1.305	1.2366	1.523352	2.008	3.253998	3.54	3.07701	3.29906	1.90993	5	3.1547	5
sample16_450f0cecc3c7003c6fbc3a10f4712aa4.ogg	998	loss30-0 + rate17kbit	2.8333333333333	6	1	3	5	2.8333333333333	1	1	1.1691084427984	1.862	1	1.23	1	2.3	1.859	1.14	1	3.60782	1	1.283	1.039	1.646243	1.981	1		1.07466	2.60923	1.59175	1	3.15854	1.1402
sample06_08332cdbd86d4f09d30cd81c4f436081.ogg	1013	loss25-0 + rate29kbit	4	6	1	3	5	4	5	1	1.9104069587601	2.281	3.805239	1.274	2.528	2.7	2.255	2.6	1	4.28249	1.56624	1.404	1.076	1.7657	2.084	3.664734	4.27	3.82859	3.51377	1.72976	1	4.10138	5
sample06_afb5f1ecdd37621d1be77b20691fefd8.ogg	996	loss22-0 + rate19kbit	1.5714285714286	7	1	3	5	1.5714285714286	1	1	3.2968367346146	1.054	1	1.135	1	1.7	1.193	2.4	1	3.16128	1	1.104	1.642	1.204982	1.673	1	3.78	1	3.09302	1.23166	1	2.49687	2.3993
sample05_93fd2fb8e32e04fff51eaa1677a471c8.ogg	987	loss25-0 + rate29kbit	3.5	6	1	3	5	3.5	5	1	1.0947567747522	2.021	4.277413	1.368	4.315	2.7	2.188	3	1	4.73085	4.46019	1.498	1.2366	1.781618	2.083	3.075668	3.6	3.87803	3.57405	2.12838	4.7892	3.80897	5
sample16_5d5ba5774b0b215e83f8099e87cbe7e2.ogg	993	loss20-0 + rate32kbit	3.3333333333333	6	1	3	5	3.3333333333333	5	1	3.8453808919784	2.125	1.607055	1.337	4.68	2.7	2.264	3.52	1	3.81342	1	1.387	1.1871	1.734635	2.099	1.754669	4.3	5	5	2.08908	4.875	3.95205	3.0413
sample15_1a7df29173d06cd4119ea338d1e8e05c.ogg	1002	loss17-0 + rate24kbit	1.8333333333333	6	1	3	5	1.8333333333333	1	1	1.0223661857486	1.758	1.438894	1.228	2.293	2.3	1.93	2.82	1	2.97443	1.95948	1.245	1.1368	1.53185	1.875	1		2.71855	2.56472	2.19584	4.9301	2.68076	1.9795
sample15_1a7df29173d06cd4119ea338d1e8e05c.ogg	1001	loss20-0 + rate32kbit	3.2727272727273	22	1	3	5	3.2727272727273	5	1	1.1890214127287	2.457	2.516494	1.54	3.912	2.7	2.377	3	1	4.61857	4.41399	1.663	1.591	2.079656	2.287	1.891037		3.63484	3.85197	2.94087	5	3.85998	4.1503
sample16_28b7af27b8464f83f547e385893de318.ogg	988	default	5.4285714285714	7	1	3	5	5.4285714285714	5	1	1.4906159730495	4.627	3.621676	4.278	2.779	4.3	4.179	5	5	4.90442	3.79181	4.15	3.5786	4.7129	5	4.900223		4.6415	4.98595	4.3097	4.3671	4.69914	4.4318
sample05_93fd2fb8e32e04fff51eaa1677a471c8.ogg	998	loss17-0 + rate24kbit	4	7	1	3	5	4	5	1	1.9152954285337	2.599	3.75914	1.806	2.218	2.7	2.515	3.6	3.75	4.27939	3.9713	1.712	1.5148	2.33894	2.621	1	3.57	3.69458	3.38541	2.58535	4.7474	4.01013	
sample06_6691afc81fd72df69da5b1a7a508b30e.ogg	998	loss10-0 + rate64kbit	4	6	1	3	5	4	5	1	3.5063437916988	2.609	1.022834	1.577	4.019	3.3	2.478	2.82	1	4.7626	3.96094	1.992	1.2814	2.58416	2.847	2.404831	4.74	3.7159	3.94489	2.36787	1	4.30383	5
sample15_a5c5e22bcb1d4585beba504d73b6cc99.ogg	1013	loss22-0 + rate23kbit	1.5714285714286	7	1	3	5	1.5714285714286	1	1	3.6724611525321	1.799	1	1.286	2.302	2.3	1.908	2.4	1	3.28436	1	1.285	1.1174	1.503232	1.86	1	3.29	1.92433	2.44683	2.38662	2.6125	2.37314	1
sample17_0d1f6a407f028a451f3a6a90098a9300.ogg	988	loss25-0 + delay500-50	4.8333333333333	6	1	3	5	4.8333333333333	5	2.28327	3.0178236265899	2.617	1	1.651	3.62	2.7	2.486	4.42	4	4.74741	3.43149	1.642	1.4385	2.296419	2.47	3.496567	4.63	3.03105	3.5229	2.49086	1	3.91037	3.8907
sample05_0bb3646f15e8dc61f525f40f2884de57.ogg	988	loss40-0 + rate16kbit	1.1428571428571	7	1	3	5	1.1428571428571	1	1	3.598783254439	1.197	1	1.142	2.878	2.3	1.612	2.82	1	0.325787	1	1.259	1.0814	1.338641	1.842	1	3.9	2.92993	2.46447	1.31811	2.5315	2.5393	5
sample05_0bb3646f15e8dc61f525f40f2884de57.ogg	1001	loss25-0 + delay500-50	3.5	6	1	3	5	3.5	5	1	3.257397812256	2.549	1.64721	1.272	3.263	2.3	1.756	1.19	1	2.55256	2.09588	1.36	1.4251	2.37341	2.086	1	1.53	3.4326	3.05042	1.86638	2.4524	1.29606	
sample06_43af06b41db225c41a659da60408148a.ogg	1012	loss25-0 + rate29kbit	4.2857142857143	7	1	3	5	4.2857142857143	5	1	3.1670556444045	2.222	1.06564	1.302	4.308	2.7	2.096	3.6	1	4.73374	3.47824	1.427	1.2748	1.839248	2.112	2.822845	4.09	3.46332	4.45791	1.99195	1	3.5328	5
sample17_fd738975ea9a518e48680e3c33ee4c05.ogg	992	loss20-0 + rate32kbit	3.2857142857143	7	1	3	5	3.2857142857143	5	1	1.803440889785	2.125	1	1.326	2.112	2.7	2.068	1.7	1	4.31347	1.18537	1.377	1.1792	1.739622	2.074	3.126877		2.2344	3.27962	2.08882	1	2.897	4.7122
sample05_7f3d7554d1fe70872389e84ebe802984.ogg	998	loss25-0 + rate25kbit	2.8571428571429	7	1	3	5	2.8571428571429	1	1	1.9228883268272	2.217	3.824225	1.145	1.475	2.7	1.469	3.56	1	4.4412	1	1.408	1.1245	1.584021	1.816	1	4.45	1.97547	2.31951	1.53018	1	3.90065	
sample05_7f3d7554d1fe70872389e84ebe802984.ogg	1012	loss25-0 + rate29kbit	4.6666666666667	6	1	3	5	4.6666666666667	5	2.62037	1.1717519462618	1.904	2.033952	1.215	1.848	2.3	1.951	3.08	1	4.70728	3.38949	1.327	1.1535	1.620797	1.92	3.077194	4.4	3.07801	3.69636	2.07509	1	3.98149	5
